"","year","database","sample_size"
"1",1984,"Pf7k",140
"2",1990,"Pf7k",10
"3",1991,"Pf7k",2
"4",1993,"Pf7k",5
"5",1994,"Pf7k",3
"6",1995,"Pf7k",46
"7",1996,"Pf7k",65
"8",1996,"WWARN",64
"9",1997,"Pf7k",28
"10",1998,"Pf7k",12
"11",1998,"WWARN",60
"12",1999,"Pf7k",2
"13",1999,"WWARN",399
"14",2000,"GEOFF",37
"15",2000,"Pf7k",1
"16",2001,"GEOFF",58
"17",2001,"Pf7k",69
"18",2002,"GEOFF",82
"19",2002,"Pf7k",50
"20",2002,"WWARN",136
"21",2003,"GEOFF",67
"22",2003,"Pf7k",92
"23",2003,"WWARN",286
"24",2004,"GEOFF",72
"25",2004,"Pf7k",84
"26",2004,"WWARN",153
"27",2005,"GEOFF",998
"28",2005,"Pf7k",93
"29",2005,"WWARN",145
"30",2006,"GEOFF",82
"31",2006,"Pf7k",48
"32",2006,"WWARN",330
"33",2007,"GEOFF",223
"34",2007,"Pf7k",219
"35",2007,"WWARN",962
"36",2008,"GEOFF",371
"37",2008,"Pf7k",515
"38",2009,"GEOFF",87
"39",2009,"Pf7k",299
"40",2009,"WWARN",332
"41",2010,"GEOFF",346
"42",2010,"Pf7k",614
"43",2010,"WHO",2773
"44",2010,"WWARN",1215
"45",2011,"GEOFF",320
"46",2011,"Pf7k",1249
"47",2011,"WHO",4526
"48",2011,"WWARN",743
"49",2012,"GEOFF",1376
"50",2012,"Pf7k",952
"51",2012,"WHO",11151
"52",2012,"WWARN",2607
"53",2013,"GEOFF",3247
"54",2013,"Pf7k",1718
"55",2013,"WHO",11528
"56",2013,"WWARN",3513
"57",2014,"GEOFF",1164
"58",2014,"Pf7k",1703
"59",2014,"WHO",6433
"60",2014,"WWARN",8766
"61",2015,"GEOFF",2361
"62",2015,"Pf7k",1463
"63",2015,"WHO",9738
"64",2015,"WWARN",2755
"65",2016,"GEOFF",2595
"66",2016,"Pf7k",2598
"67",2016,"WHO",6972
"68",2016,"WWARN",1585
"69",2017,"GEOFF",5400
"70",2017,"Pf7k",2669
"71",2017,"WHO",6832
"72",2017,"WWARN",2882
"73",2018,"GEOFF",7442
"74",2018,"Pf7k",1478
"75",2018,"WHO",5151
"76",2018,"WWARN",1851
"77",2019,"GEOFF",8081
"78",2019,"WHO",2655
"79",2019,"WWARN",4678
"80",2020,"GEOFF",5104
"81",2020,"WHO",687
"82",2021,"GEOFF",9360
"83",2021,"WWARN",92
"84",2022,"GEOFF",1163
"85",2023,"GEOFF",292
